
疵 | cī | flaw, fault, defect; disease
酥 | sū | butter; flaky, crispy, light, fluffy
缮 | shàn | repair, mend; rewrite, transcribe
莓 | méi | moss; edible berries
辕 | yuán | axle; magistrate's office; surname
骇 | hài | terrify, frighten, scare; shock
巍 | wēi | high, lofty, majestic, eminent
糗 | qiǔ | parched wheat or rice; broken grain
扛 | káng | carry on shoulders; lift
杏 | xìng | apricot; almond
茁 | zhuó | to sprout, flourish; sprouts appearing above-ground; vigorous
琵 | pí | guitar-like instrument
礁 | jiāo | reef; jetty; submerged rocks
秽 | huì | dirty, unclean; immoral, obscene
岔 | chà | diverge, branch off; fork in road
僻 | pì | out-of-the-way, remote; unorthodox
焊 | hàn | weld, solder
嗡 | wēng | sound of flying bees, airplanes
诵 | sòng | recite, chant, repeat
瞌 | kē | doze off; sleepy
捌 | bā | break open, split open; an accounting version of the numeral eight
遁 | dùn | hide, conceal oneself; escape
赃 | zāng | booty, loot, stolen goods; bribe
涡 | wō | swirl, whirlpool, eddy
琮 | cóng | octagonal piece of jade with hole in middle
卯 | mǎo | 4th terrestrial branch; period from 5-7 a.m.
锯 | jù | a saw; to saw; amputate
扔 | rēng | throw, hurl; throw away, cast
苏 | sū | revive, resurrect; a species of thyme; transliteration of 'Soviet'
邹 | zōu | name of an ancient state; surname
莅 | lì | reach, arrive; manage
隘 | ài | narrow, confined; a strategic pass
蹋 | tà | step on, tread on; stumble, slip
湛 | zhàn | deep; profound; clear; tranquil, placid
昼 | zhòu | daytime, daylight
岫 | xiù | mountain peak; cave, cavern
蛰 | zhí | to hibernate
桩 | zhuāng | stake, post; affair, matter
藐 | miǎo | disregard, slight, disdain
汲 | jí | draw water from well; imbibe
禄 | lù | blessing, happiness, prosperity
皂 | zào | soap; black; menial servant
濑 | lài | swift current; rapids
绒 | róng | silk, cotton, or woolen fabric
耽 | dān | indulge in; be negligent
粪 | fèn | manure, dung, night soil
粤 | yuè | Guangdong and Guangxi provinces; initial particle
卤 | lǔ | saline soil; natural salt, rock
曜 | yào | glorious, as sun; daylight, sunlight
懋 | mào | splendid, grand, majestic
咎 | jiù | fault, defect; error, mistake
痘 | dòu | smallpox
聂 | niè | whisper; surname
垢 | gòu | dirt, filth, stains; dirty
瞳 | tóng | pupil of eye
闵 | mǐn | mourn, grieve; urge on, incite
睿 | ruì | shrewd, astute, clever, keen
跤 | jiāo | stumble, fall down; wrestle
鉴 | jiàn | mirror, looking glass; reflect
躬 | gōng | body; personally, in person
斟 | zhēn | to pour wine or tea into a cup; to gauge
淇 | qí | river in Henan province
莒 | jǔ | hemp-like plant; taro; herb
毯 | tǎn | rug, carpet, blanket
幸 | xìng | luck(ily), favor, fortunately
骋 | chěng | gallop horse; hasten, hurry
岱 | dài | Daishan, one of the Five Sacred Mountains in China
庐 | lú | hut, cottage; name of a mountain
殃 | yāng | misfortune, disaster, calamity
橄 | gǎn | olive
恤 | xù | show pity; relieve, help
叽 | jī | sigh in disapproval; take small
鳞 | lín | fish scales
蒙 | méng | cover; ignorant; suffer; mongolia
芥 | jiè | mustard plant; mustard; tiny
榄 | lǎn | olive
楷 | kǎi | model style of Chinese writing
硫 | liú | sulfur
苔 | tái | moss, lichen
麒 | qí | legendary auspicious animal
椎 | zhuī | hammer, mallet; vertebra
禹 | yǔ | legendary hsia dynasty founder
喙 | huì | beak, bill, snout; pant
厘 | lí | manage, control; 1/1000 of a foot
袅 | niǎo | curling upwards; wavering gently
亥 | hài | 12th terrestrial branch
倌 | guān | assistant in wine shop, groom
吭 | háng | throat
